Agarum fimbriatum
Agasicles hygrophila
Agelaius phoeniceus
Agelena labyrinthica
Agkistrodon contortrix
Agkistrodon piscivorus
Aglais io
Aglantha digitale
Aglaodiaptomus leptopus
Aglaophamus circinata
Aglaophamus malmgreni
Aglenchus agricola
Agnetina capitata
Agononida incerta
Agonopsis chiloensis
Agonopterix robiniella
Agonum muelleri
Agonum thoreyi
Agonum viduum
Agonus cataphractus
Agosia chrysogaster
Agraulis vanillae
Agraylea multipunctata
Agrilus planipennis
Agriotes acuminatus
Agriotes lineatus
Agriotes obscurus
Agriotes sputator
Agrochola bicolorago
Agroeca brunnea
Agrotis gladiaria
Agrotis ipsilon
Agrotis malefida
Agrotis subterranea
Agrypnia colorata
Agrypnia deflata
Agrypnia vestita
Agrypnus murinus
Agyneta affinis
Ahaetulla mycterizans
Ahaetulla nasuta
Ahaetulla perroteti
Ahaetulla prasina
Aidanosagitta crassa
Aipysurus laevis
Aix sponsa
Ajuga reptans
Akashiwo sanguinea
Akera bullata
Akodon cursor
Akodon nigrita
Akodon serrensis
Alacia belgicae
Alacia hettacra
Alaria esculenta
Alarodia slossoniae
Alaus myops
Alaus oculatus
Albatrossia pectoralis
Albizia harveyi
Alboglossiphonia heteroclita
Albunea gibbesii
Albunea paretii
Alburnus alburnus
Alburnus hohenackeri
Alcedo atthis
Alcelaphus buselaphus
Alcichthys alcicornis
Alcichthys elongatus
Alcyonium antarcticum
Alcyonium digitatum
Alderia modesta
Aldrichetta forsteri
Alectis alexandrina
Alectis ciliaris
Alectoris chukar
Alectura lathami
Aleochara bilineata
Aleochara bipustulata
Aleochara curtula
Aleochara ruficornis
Aleochara spadicea
Aleochara sparsa
Alepisaurus ferox
Alepocephalus bairdii
Alepocephalus rostratus
Alevonota gracilenta
Alexandrella mixta
Alexandrium catenella
Alexandrium ostenfeldii
Alexandrium tamarense
Alexandrium tamarensis
Aleyrodes lonicerae
Aleyrodes proletella
Alima hieroglyphica
Alima hyalina
Alitta succinea
Alitta virens
Alkmaria romijni
Allacma fusca
Allactaga elater
Allagelena gracilens
Allajulus nitidus
Allaphis cyperi
Alle alle
Alligator mississippiensis
Alliphis siculus
Allobates femoralis
Allobates marchesianus
Alloclinus holderi
Allocyttus niger
Allocyttus verrucosus
Allomogurnda nesolepis
Allosergestes pectinatus
Allosergestes sargassi
Allosmerus elongatus
Allosuctobelba grandis
Alloteuthis media
Alloteuthis subulata
Allothunnus fallai
Alluroteuthis antarcticus
Alnus incana
Aloconota gregaria
Alomasoma belyaevi
Alona affinis
Alona costata
Alona quadrangularis
Alopecosa cuneata
Alopecosa pulverulenta
Alopecurus pratensis
Alopias pelagicus
Alopias vulpinus
Alopochen aegyptiaca
Alopoglossus buckleyi
Alosa aestivalis
Alosa fallax
Alosa macedonica
Alosa pseudoharengus
Alosa sapidissima
