Alburnus alburnus
Alburnus hohenackeri
Alcelaphus buselaphus
Alcichthys elongatus
Alcyonium antarcticum
Alcyonium digitatum
Alderia modesta
Aldrichetta forsteri
Alectis ciliaris
Alectoris chukar
Alectura lathami
Aleochara bilineata
Aleochara bipustulata
Aleochara curtula
Aleochara ruficornis
Aleochara spadicea
Alepisaurus ferox
Alevonota gracilenta
Alexandrella mixta
Alexandrium catenella
Alexandrium ostenfeldii
Alexandrium tamarense
Alexandrium tamarensis
Aleyrodes lonicerae
Aleyrodes proletella
Alima hieroglyphica
Alima hyalina
Alitta succinea
Alitta virens
Alkmaria romijni
Allacma fusca
Allactaga elater
Allagelena gracilens
Allajulus nitidus
Allaphis cyperi
Alligator mississippiensis
Allobates femoralis
Allobates marchesianus
Alloclinus holderi
Allomogurnda nesolepis
Allosergestes pectinatus
Allosergestes sargassi
Allosmerus elongatus
Allosuctobelba grandis
Alloteuthis media
Alloteuthis subulata
Alluroteuthis antarcticus
Alnus incana
Aloconota gregaria
Alomasoma belyaevi
Alona affinis
Alona costata
Alona quadrangularis
Alopecosa cuneata
Alopecosa pulverulenta
Alopecurus pratensis
Alopochen aegyptiaca
Alopoglossus buckleyi
Alosa aestivalis
Alosa fallax
Alosa pseudoharengus
Alosa sapidissima
Alphestes afer
Alpheus armatus
Alpheus digitalis
Alpheus formosus
Alpheus glaber
Alpheus heterochaelis
Alpheus lottini
Alpheus normanni
Alteromonas macleodii
Alteutha depressa
Altica quercetorum
Altolamprologus compressiceps
Aluterus schoepfii
Aluterus scriptus
Alypia octomaculata
Amalosia lesueurii
Amara aenea
Amara aulica
Amara bifrons
Amara communis
Amara consularis
Amara convexior
Amara equestris
Amara eurynota
Amara familiaris
Amara lunicollis
Amara montivaga
Amara plebeja
Amara quenseli
Amara similata
Amara sinuosa
Amara tricuspidata
Amathia distans
Amaurobius fenestralis
Amauropsis rossiana
Amazilia tzacatl
Amazona aestiva
Amazonetta brasiliensis
Ambassis interrupta
Ambloplites rupestris
Amblychaeturichthys hexanema
Amblycirrhitus pinos
Amblyomma tuberculatum
Amblyraja radiata
Amblyrhynchus cristatus
Amblyseius similifloridanus
Amblytylus nasutus
Ambystoma californiense
Ambystoma gracile
Ambystoma jeffersonianum
Ambystoma maculatum
Ambystoma mexicanum
Ambystoma opacum
Ambystoma ordinarium
